Company,Country,HQ City,Founded,Segment,Description,Website
Isar Aerospace,Germany,Ottobrunn (Munich),2018,Launch,"Spectrum small-medium launcher; first orbital attempt March 2025 from Andøya; ~400 employees; ELC shortlistee",isaraerospace.com
Rocket Factory Augsburg (RFA),Germany,Augsburg,2018,Launch,RFA ONE microlauncher (~500 kg to SSO); part of OHB Group; ELC shortlistee,rfa.space
HyImpulse,Germany,Neuenstadt am Kocher,2018,Launch,Hybrid paraffin/LOX SR75 suborbital + SL1 orbital; €45M raised 2025,hyimpulse.de
ArianeGroup,France,Les Mureaux,2015,Launch,Ariane 6 prime; >9000 staff; Airbus/Safran JV,ariane.group
MaiaSpace,France,Vernon,2022,Launch,Maia partially reusable mini-launcher; ArianeGroup subsidiary; ELC shortlistee,maiaspace.com
Latitude,France,Reims,2019,Launch,Zephyr microlauncher; €30M raised,latitude.aero
HyPrSpace,France,Bordeaux,2019,Launch,Hybrid-propellant suborbital and orbital launch vehicles; €21M raised,hyprspace.com
PLD Space,Spain,Elche,2011,Launch,Miura 1 (suborbital) and Miura 5 (orbital); ELC shortlistee,pldspace.com
Orbex,UK,"Forres, Scotland",2015,Launch,Prime microlauncher; £20M UK govt investment; acquired by The Exploration Company Jan 2026; ELC shortlistee,orbex.space
Skyrora,UK,"Edinburgh, Scotland",2017,Launch,"Skyrora XL launch vehicle, hybrid space-tug",skyrora.com
Avio,Italy,Colleferro,,Launch,Vega-C operator; lead contractor for European solid motors,avio.com
SaxaVord Spaceport,UK,"Unst, Shetland",,Launch,Spaceport host,saxavord.com
B2Space,UK,"Newport, Wales",2016,Launch,Rockoon balloon-launch system,b2-space.com
T-Minus Engineering,Netherlands,Delft,2010,Launch,Sounding/suborbital rockets (Barracuda),t-minus.nl
SpaceForest,Poland,Gdynia,2011,Launch,Polish suborbital Perun rocket,spaceforest.pl
Nammo,Norway,Raufoss,,Launch,"Hybrid propulsion, Ariane 6 boosters, missile propulsion",nammo.com
ARCAspace,Romania,Râmnicu Vâlcea,1999,Launch,EcoRocket and various suborbital/anti-ballistic prototypes,arcaspace.com
Pangea Aerospace,Spain,Barcelona,2018,Launch,MesoCryo aerospike methane/LOX engine; in-space propulsion,pangeaaerospace.com
ThrustMe,France,Verrières-le-Buisson,2017,Propulsion,Iodine-fuelled electric propulsion,thrustme.fr
Exotrail,France,Massy,2017,Propulsion,Hall-effect thrusters + Spacedrop in-space logistics; $58M raised,exotrail.com
Enpulsion,Austria,Wiener Neustadt,2017,Propulsion,FEEP IFM Nano Thruster; >200 thrusters flown,enpulsion.com
ISPTech,Germany,,2023,Propulsion,Non-toxic HyNOx & HIP_11 thrusters; DLR spin-off; €5.5M seed 2026,isptech.com
GATE Space,Austria,Vienna,,Propulsion,Electric propulsion with active thrust vector control,gate.space
Findus Venture,Austria,,,Propulsion,Chemical propulsion for capsules/landers,
Ienai Space,Spain,Madrid,2019,Propulsion,Electrospray Athena propellant for small satellites,ienai.space
Arkadia Space,Spain,Castellón,,Propulsion,Green propulsion thrusters,
Dawn Aerospace,Netherlands,Delft,,Propulsion,Non-toxic propulsion; 170+ thrusters delivered,dawnaerospace.com
Aurora Propulsion Technologies,Finland,Espoo,,Propulsion,"Orbital thrusters, plasma brakes for deorbit",aurorapt.fi
Persei Space,Spain,Madrid,,Propulsion,Electrodynamic-tether deorbit device,
Orbital Machines,Norway,Trondheim,,Propulsion,Standardised electric propellant pumps for launchers,orbitalmachines.com
Solstorm,Norway,Trondheim,,Propulsion,Ionospheric magnetic-drag deorbit & spacecraft inspection,solstorm.no
Morpheus Space,Germany,Dresden,,Propulsion,NanoFEEP thrusters with AI mission planning,morpheus-space.com
DCubed,Germany,Munich,,Propulsion,"Deployable structures, release actuators, in-space manufacturing",dcubed.space
MT Aerospace,Germany,Augsburg,,Propulsion,"Propellant tanks, structures, microlauncher studies",
ICEYE,Finland,Espoo,2014,Earth Observation,World-leading commercial SAR microsatellite constellation; ~600 employees,iceye.com
Constellr,Germany,Freiburg,2020,Earth Observation,Thermal-IR microsats for agriculture/water,constellr.com
OroraTech,Germany,Munich,2018,Earth Observation,Wildfire detection via thermal-IR nanosats,ororatech.com
Kuva Space,Finland,Espoo,2016,Earth Observation,Hyperspectral EO constellation,kuvaspace.com
Reaktor Space Lab,Finland,Espoo,,Earth Observation,Small-sat platforms and EO payloads,reaktorspace.com
Open Cosmos,UK,"Harwell, Didcot",2015,Earth Observation,End-to-end smallsat missions; OpenConstellation platform,open-cosmos.com
Satellite Vu,UK,London,2016,Earth Observation,Thermal IR (HotSat) for climate/ESG,satellitevu.com
Aerospacelab,Belgium,Mont-Saint-Guibert,2018,Satellite Manufacturing,Vertically integrated smallsat manufacturer; ~330 staff; building 500 sat/yr megafactory,aerospacelab.com
Hydrosat,Luxembourg,,2017,Earth Observation,Thermal-IR for water/drought,hydrosat.com
Prométhée Earth Intelligence,France,Paris,,Earth Observation,EO Copernicus Contributing Mission,
Kayrros,France,Paris,2016,Earth Observation,Energy/methane analytics from EO; EIB-backed,kayrros.com
Unseenlabs,France,Rennes,2015,Earth Observation,RF-geolocation maritime constellation; €112.5M raised,unseenlabs.space
Galeio,France,Paris,,Earth Observation,Geospatial foundation models on satellite imagery,
Aldoria,France,Paris,,Earth Observation/SSA,SSA & EO (formerly Share My Space),aldoria.com
NorthStar Earth & Space,Luxembourg,,,SSA,SSA from space,
Spire Global EU,Luxembourg,,,Satcom/EO,"Weather, AIS, ADS-B from CubeSat constellation",spire.com
GeoVille,Austria,Innsbruck,,Earth Observation,Land-monitoring services,
GMV,Spain,Madrid,,Ground Systems,"Flight dynamics, ground systems, Galileo ground segment",
Satlantis,Spain,Bilbao,,Earth Observation,High-res EO smallsats,satlantis.com
Sateliot,Spain,Barcelona,2018,Satcom/IoT,5G IoT NB-IoT from LEO; first European in S-band,sateliot.space
Sen,UK,London,2014,Earth Observation,Ultra HD video from space; first sat 2022,sen.com
Geosat,Portugal,Évora,,Earth Observation,Geosat-1/2 EO operator; lead of Atlantic Constellation,geosat.space
Spotlite,Portugal,,,Earth Observation,Infrastructure monitoring via SAR/ground motion,
askEarth,Switzerland,,,Earth Observation,LLM-driven geospatial intelligence agent,
EnduroSat,Bulgaria,Sofia,2015,Satellite Manufacturing,Modular CubeSat/microsat platforms; 250+ staff; $165M raised 2025,endurosat.com
Creotech Instruments,Poland,Warsaw,2011,Satellite Manufacturing,HyperSat platform; €52M ESA CAMILA contract,creotech.pl
KP Labs,Poland,Gliwice,,Earth Observation,AI on-board processors (Antelope/Intuition-1),kplabs.space
SatRev,Poland,Wrocław,,Earth Observation,STORK and other 2-3U EO nanosats,satrev.space
Scanway,Poland,Wrocław,,Components,Optical instruments; flew on Ariane 6 maiden flight,scanway.space
PIAP-Space,Poland,,,Components,Robotics & manipulators,
GMV Innovating Solutions,Romania,Bucharest,2009,Ground Systems,GMV Romanian subsidiary,
Terrasigna,Romania,Bucharest,,Earth Observation,Copernicus downstream,
TRL Space Systems,Czech Republic,Brno,,Satellite Manufacturing,"Hyperspectral, LiDAR, lunar (LUGO)",trlspace.com
World from Space,Czech Republic,Brno,,Earth Observation,DynaCrop API agri-EO,
Spaceknow,Czech Republic,Prague,,Earth Observation,Global economic activity from EO,spaceknow.com
KappaZeta,Estonia,Tartu,,Earth Observation,SAR/optical for agriculture,
Crystalspace,Estonia,Tartu,,Components,Space-grade cameras,
Spaceit,Estonia,Tartu,,Ground Systems,MCS-as-a-service,
Datel,Estonia,Tallinn,,Earth Observation,EO e-government,
Tesselo,Portugal,Lisbon,,Earth Observation,AI satellite mapping for forestry/insurance,
Vake,Norway,Oslo,,Earth Observation,Dark-vessel AI maritime tracking,
AnsuR Technologies,Norway,Oslo,,Earth Observation,Low-bandwidth EO compression,
OHB Hellas,Greece,Athens/Patras/Heraklion,2018,Satellite Manufacturing,"Onboard AI computing, smallsats; first dedicated space firm in Greece",ohb-hellas.gr
Prisma Electronics,Greece,Alexandroupoli,,Satellite Manufacturing,Maritime nanosat (MICE-1),prismaelectronics.eu
Libre Space Foundation,Greece,Athens,,Open Source,Open-source satellites & SatNOGS ground network,libre.space
Planetek Hellas,Greece,Athens,,Earth Observation,EO services,
Hellas Sat,Greece,Athens,,Satcom,GEO comms operator,
Ubotica Technologies,Ireland,Dublin,2016,Components,AI/edge computing for EO satellites,ubotica.com
Skytek,Ireland,Dublin,,Ground Systems,Mission ops software,
Adwäiseo,Luxembourg,,,Earth Observation,EO analytics,
Captis Space Systems,Germany,,,Earth Observation,VLEO CubeSats,
GomSpace,Denmark,Aalborg,2007,Satellite Manufacturing,Leading European CubeSat/nanosat manufacturer; Nasdaq Stockholm listed,gomspace.com
AAC Clyde Space,UK/Sweden,Glasgow + Uppsala/Linköping,,Satellite Manufacturing,Nanosatellite platforms,aac-clyde.space
NanoAvionics,Lithuania,Vilnius,,Satellite Manufacturing,CubeSat buses; subsidiary of Kongsberg,nanoavionics.com
ISISpace,Netherlands,Delft,,Satellite Manufacturing,CubeSat platforms; supported 367+ launched sats,isispace.nl
Hemeria,France,Toulouse,,Satellite Manufacturing,Small satellites for institutional/defense,
