Name,Country,Founded,Employees (approx.),Website,Technology / Focus,Description,Notes (funding / status)
Belfort,Belgium,2025,,https://belfortlabs.com,SECURITY - Security techhnology,Hardware for encrypted compute (FHE),
Pharrowtech,Belgium,2018,,https://pharrowtech.com,RF - Wireless,RF ICs for high speed wireless links,
Swave,Belgium,2022,,https://swave.io,PHOTONICS - Photonic based startups,Holographic chips based on diffractive photonics,
Atlant 3D,Denmark,2018,,https://atlant3d.com,MFG - Manufacturing related,Atomic scale 3d material printing,
Phanofi,Denmark,2022,,https://phanofi.com,PHOTONICS - Photonic based startups,Optical transceivers for data centers & HPC,
Skycore Semiconductors,Denmark,2021,,https://skycore-semi.com,ANALOG - All things analog,Switched capacitor based integrated power converters,
Flow Computing,Finland,2024,,https://flow-computing.com,HPC - High performance computing,Parallel processing IP,
SemiQon,Finland,2023,,https://semiqon.tech,QUANTUM - Quantum computing,Quantum processors,
Alice & Bob,France,2020,n/a,https://alice-bob.com,QUANTUM - Cat-qubit quantum,Fault-tolerant superconducting cat-qubit quantum computers,EUR100M+; Series B incl. NVIDIA venture arm
Aniah,France,2019,,https://aniah.fr,EDA - Design automation tools,Circuit analysis software,
Arago,France,2024,~20,https://arago.inc,PHOTONICS - Photonic based startups,Photonic computing platform,"$26M seed; angels from Apple, Arm, Hugging Face"
C12,France,2020,~62,https://c12qe.com,QUANTUM - Carbon-nanotube qubit quantum,Quantum processors from carbon-nanotube spin qubits; ENS spin-off,~EUR29M; operates own Quantum Fab in Paris
HawAI.tech,France,2019,,https://hawai.tech,AI - AI hardware,AI accelerators,
Keysom,France,2022,,https://keysom.io,RISC-V - RISC-V based startups,RISC-V design platform,
Lighton,France,2015,,https://lighton.ai,PHOTONICS - Photonic based startups,Optical computing platform,
NcodiN,France,2023,,https://ncodin.com,PHOTONICS - Photonic based startups,Optical interposers,
Neurxcore,France,2023,,https://neurxcore.com,AI - AI hardware,AI accelerator IP based on NVDLA,
Pasqal,France,2019,~200 (est.),https://pasqal.com,QUANTUM - Neutral-atom quantum,Full-stack neutral-atom quantum computers; deployed in EU HPC centres,~EUR140M+; co-founded by Nobel laureate Alain Aspect
Prophesee,France,2014,n/a,https://prophesee.ai,SENSORS - Event-based vision sensors,Neuromorphic event-based vision sensors mimicking the eye,~$128M raised; entered administration in late 2024
Quobly,France,2022,n/a,https://quobly.io,QUANTUM - Silicon spin-qubit quantum,Silicon spin-qubit quantum processors on standard fabs (formerly Siquance),Wafers in STMicro 300mm fab; CEA/CNRS spin-off
Scalinx,France,2015,,https://scalinx.com,RF - Wireless,Wideband RFIC frontends,
Scintil Photonics,France,2018,~30,https://scintil-photonics.com,PHOTONICS - Photonic based startups,Photonic computing platform,~$77M; Nvidia-backed; EUR50M Series B (2025)
SiPearl,France,2019,~190,https://sipearl.com,HPC - High performance computing,Manycore processors,"~$180M; Rhea1 HPC processor for EuroHPC, made by TSMC"
Upmem,France,2015,,https://upmem.com,AI - AI hardware,In memory processing devices for big data and AI,
Viqthor,France,2023,,https://viqthor.com,QUANTUM - Quantum computing,Quantum processing,
Vsora,France,2015,,https://vsora.com,AI - AI hardware,AI inference chips,
Welinq,France,2022,,https://welinq.fr,QUANTUM - Quantum computing,Quantum interconnects,
Akhetonics,Germany,2021,<20 (est.),https://akhetonics.com,PHOTONICS - Photonic based startups,Optical computing devices,~$9M; first all-optical general-purpose processor
Anabrid,Germany,2023,,https://anabrid.com,ANALOG - All things analog,Analog computer on a chip,
Black Semiconductor,Germany,2021,~85,https://blacksemiconductor.de,MFG - Manufacturing related,Graphene electronics/photonics translators,EUR254.4M raised (mostly EU/German grant)
Celtro,Germany,2019,,https://celtro.de,HEALTH - Health centric devices,Energy harvesting implantable medical devices,
Celus,Germany,2016,,https://celus.io,EDA - Design automation tools,PCB design tools,
Codasip,Germany,2014,,https://codasip.com,RISC-V - RISC-V based startups,Supplier of RISC-V IP cores,
Denpaflux,Germany,2022,,https://denpaflux.com,EDA - Design automation tools,EMC analysis platform for design engineering teams,
FMC (Ferroelectric Memory Company),Germany,2015,n/a,https://ferroelectric-memory.com,MFG - Manufacturing related,Ferroelectric non-volatile RAM,~EUR100M+; DRAM+ memory on hafnium oxide
Gemesys,Germany,2021,,https://gemesys.tech,AI - AI hardware,Analog AI processors,
Linque,Germany,2023,,https://linque.eu,PHOTONICS - Photonic based startups,Optical computing,
Lubis EDA,Germany,2021,,https://Lubis-eda.com,EDA - Design automation tools,Cloud based formal verification platform,
Q.ANT,Germany,2018,~90,https://qant.com,PHOTONICS - Photonic AI processors,Processors that compute natively in light (thin-film lithium niobate); TRUMPF spin-off,~$80M+; first commercial all-photonic AI co-processors
