Company Name,URL,Description,Sponsorship
Computacenter plc,https://www.computacenter.com,"FTSE 250 independent technology and services provider, HQ Hatfield, Hertfordshire; sources, transforms and manages IT infrastructure for large corporate and public-sector clients.",Yes
Softcat plc,https://www.softcat.com,"FTSE 250 IT infrastructure reseller and managed services provider, HQ Marlow; software licensing, cloud, workplace, networking and security.",Unknown
Bytes Software Services Limited,https://www.bytes.co.uk,"Software licensing, software asset management, cloud solutions and training, HQ Leatherhead; part of Bytes Technology Group.",Yes
Endava plc,https://www.endava.com,"Global digital transformation and software engineering company, HQ London; agile development, cloud and automation for finance, telecoms and retail.",Unknown
BJSS Limited,https://www.bjss.com,"Technology and engineering consultancy, HQ Leeds; software delivery, cloud and systems integration for enterprise and public sector.",Unknown
Version 1,https://www.version1.com,"IT services and digital transformation firm, HQ Dublin with major England operations; cloud, data and Oracle/Microsoft/AWS services.",Unknown
Kainos Group plc,https://www.kainos.com,"Digital services and Workday consulting, HQ Belfast with major England presence; government, healthcare and enterprise HR transformation.",Yes
Specialist Computer Centres (SCC),https://www.scc.com,"Large privately owned IT services company, HQ Tyseley, Birmingham; founded 1975 by Sir Peter Rigby.",Unknown
OneAdvanced (Advanced Computer Software Group),https://www.oneadvanced.com,"Business software and services provider, HQ Birmingham; sector software for public sector, health, legal and finance.",Yes
Civica UK Limited,https://www.civica.com,"Public-sector software and digital services, HQ London; local government, health, education and housing.",Yes
Sopra Steria Limited,https://www.soprasteria.co.uk,"Consulting, digital services and outsourcing (UK operations; French parent); public sector and financial services.",Yes
CGI IT UK Limited,https://www.cgi.com/uk,"IT and business consulting, systems integration and managed services; UK sponsor entity listed as 'Logica Ltd t/a CGI'.",Yes
Capita plc,https://www.capita.com,"Business process outsourcing and IT services, HQ London; public sector and financial services technology.",Unknown
Mastek (UK) Limited,https://www.mastek.com,"Digital engineering, cloud and enterprise application services; UK operations in Reading.",Yes
FDM Group,https://www.fdmgroup.com,"IT and business consulting with a graduate/returner 'Skills Lab' placement model, HQ London.",Yes
Claranet Limited,https://www.claranet.com/uk,"Managed cloud, cybersecurity, networks and workplace services, HQ London. Acquired Six Degrees in June 2026.",Yes
Node4 Limited,https://www.node4.co.uk,"Cloud, colocation, connectivity and managed services, HQ Derby.",Yes
ANS Group Limited,https://www.ans.co.uk,"Cloud and digital transformation MSP, HQ Manchester; Microsoft Azure specialist.",Unknown
Littlefish,https://www.littlefish.co.uk,"Managed IT support and cybersecurity with UK-sovereign 24/7 support, HQ Nottingham.",Unknown
Nasstar Limited,https://www.nasstar.com,"Managed IT, cloud, networks and digital workplace services, HQ Telford.",Unknown
Redcentric plc,https://www.redcentricplc.com,"Managed IT services, cloud, connectivity and security, HQ Harrogate.",Unknown
BCN Group,https://www.bcn.co.uk,"Managed IT and cloud services, data and business applications, North West England.",Unknown
Air IT,https://www.air-it.co.uk,"Managed IT support, cybersecurity and telecoms for SMEs, with nationwide coverage.",Unknown
razorblue,https://www.razorblue.com,"Managed IT, infrastructure, connectivity and cybersecurity, North of England.",Unknown
Pulsant,https://www.pulsant.com,"UK data centre platform, cloud and managed infrastructure services.",Unknown
Transputec Ltd,https://www.transputec.com,"IT services and cybersecurity provider, HQ London.",Unknown
Six Degrees,https://www.6dg.co.uk,"Managed technology services (secure cloud, hybrid infrastructure, cyber), London; acquired by and now operating under Claranet from 2026.",Unknown
Softwire Technology Limited,https://www.softwire.com,"Employee-owned software development consultancy, HQ London.",Yes
ThoughtWorks Ltd,https://www.thoughtworks.com,"Global software consultancy and agile engineering; UK entity in London.",Yes
PA Consulting,https://www.paconsulting.com,"Consulting, technology and innovation firm, HQ London.",Unknown
Trustmarque Solutions Ltd,https://www.trustmarque.com,"IT solutions, cloud, cybersecurity and data services, near York.",Unknown
NashTech,https://www.nashtechglobal.com,"Software engineering and technology services; UK HQ London.",Unknown
One Beyond,https://www.one-beyond.com,"Bespoke software development and staff augmentation, HQ Farnborough.",Unknown
Newicon (New Icon),https://www.newicon.net,"Software, cloud and digital product engineering, HQ Bristol.",Unknown
Waracle,https://www.waracle.com,"Digital product and mobile app development consultancy; offices in London and Scotland.",Unknown
Beyond (Beyond Analysis),https://www.beyondanalysis.net,"Data analytics and business intelligence services, London.",Unknown
Blueberry Consultants,https://www.bbconsult.co.uk,"Software, mobile and web development, Birmingham.",Unknown
Ficode Technologies Limited,https://www.ficode.co.uk,"Software, mobile app and cloud development, Birmingham.",Unknown
iWeb,https://www.iweb.co.uk,"eCommerce development and IT services, Stafford.",Unknown
Codevate,https://www.codevate.com,"Bespoke software and mobile app development, Birmingham.",Unknown
GrowCreate,https://www.growcreate.com,"Web, software development and IT support, Long Crendon.",Unknown
Infopoly,https://www.infopoly.co.uk,"Data, cloud and DevOps IT services, Bournemouth.",Unknown
Mercia ITS Limited,https://www.merciaits.com,"Managed services, cybersecurity and IT strategy, Birmingham.",Unknown
Microtrading,https://www.microtrading.co.uk,"Managed IT services and cloud solutions, Birmingham.",Unknown
VTS Software,https://www.vtssoftware.co.uk,"Bespoke software development and business intelligence, Manchester.",Unknown
