Company,Country,Region,Category,Founded,Description,Funding / Stage Notes,Website (if known),Source
Saildrone,USA,North America,Underwater/Ocean Exploration & Inspection,,"Autonomous surface vehicles (USVs) carrying sensor payloads for ocean monitoring, oil & gas, and naval use; launched from ship or dock, can navigate anywhere in the world's oceans.",,saildrone.com,Tracxn - Marine Robotics
Nauticus Robotics,USA,North America,Underwater/Ocean Exploration & Inspection,,"Develops intelligent, sustainable underwater robotics for energy, aquaculture, and security applications.",,nauticusrobotics.com,nauticusrobotics.com
Abyss Solutions,Australia,Oceania,Underwater/Ocean Exploration & Inspection,,"AI-driven offshore inspection platform generating condition assessment reports for underwater infrastructure (bridges, dams, reservoirs, pipelines, oil & gas rigs, ship hulls).",,,Tracxn - Marine Robotics
Saronic,USA,North America,Underwater/Ocean Exploration & Inspection,,"Autonomous surface vessels for naval and maritime applications: awareness, communication, and recovery capability.",,,Tracxn - Marine Robotics
Sagar Defence Engineering,India,Asia,Underwater/Ocean Exploration & Inspection,,Marine robotics company building unmanned surface vehicles and defense-related autonomous marine systems.,,,Tracxn - Marine Robotics
Blue Robotics,USA,North America,Underwater/Ocean Exploration & Inspection,,"Low-cost underwater ROVs (BlueROV2, ~$3,500) plus open-source thrusters, sonars, enclosures, and subsea cameras.",,bluerobotics.com,SeafoodSource / ensun.io
Deep Trekker,Canada,Canada,Underwater/Ocean Exploration & Inspection,,"Portable, handheld, battery-powered ROVs (e.g. DTX2, DT Revolution) widely used for aquaculture and general underwater inspection, rated to ~300 ft.",,deeptrekker.com,Responsible Seafood Advocate / ensun.io
RBR,Canada,Canada,Underwater/Ocean Exploration & Inspection,1973 (as a company; oceanographic instrument focus since then),"Manufactures oceanographic instruments/sensors mounted on underwater drones, dropped from planes, or sent to the ocean floor for climate research; partners include Fisheries and Oceans Canada, Scripps, Woods Hole, British Antarctic Survey.",,rbr-global.com,Wellfound - Water Startups
ISE (International Submarine Engineering),Canada,Canada,Underwater/Ocean Exploration & Inspection,,"40-year-old developer/manufacturer of undersea vehicles, control systems and robotics; delivered ~250 underwater vehicles (ROVs, AUVs, HROVs, semi-submersibles) and 400+ robotic manipulators to 20+ countries. Based near Vancouver.",,ise.bc.ca,Marine Technology Directory - Canada
Cellula Robotics,Canada,Canada,Underwater/Ocean Exploration & Inspection,,"Vancouver-based designer/manufacturer of AUVs (Porter AUV: 45-day, 5,000 km endurance) for subsea security, mineral exploration, energy exploration; supplied 25+ survey-grade AUVs globally.",,cellula.com,cellula.com
Open Ocean Robotics,Canada,Canada,Underwater/Ocean Exploration & Inspection,,"Solar-powered autonomous surface vehicle (Data Xplorer) for illegal-fishing enforcement, marine-mammal monitoring, and ocean data collection; MaRS/Creative Destruction Lab portfolio company.",$4.5M SDTC/BC Innovative Clean Energy grant; $3.8M Ocean Supercluster ASOMS project grant; $850K Women in Cleantech support,openoceanrobotics.com,openoceanrobotics.com / StartUs Insights
Kraken Robotics,Canada (Newfoundland),Canada,Underwater/Ocean Exploration & Inspection,,"Subsea intelligence company: 3D imaging sensors (synthetic aperture sonar, sub-bottom imaging), power solutions and robotic systems for seabed survey.",Publicly traded (TSXV),krakenrobotics.com,BestStartup Canada / Tracxn Maritime Tech Canada
Marine Thinking,"Canada (Halifax, NS)",Canada,Underwater/Ocean Exploration & Inspection,,Redefining marine industry via AI and robotic technologies; leading the $940K Amphibian UWILD Remote Robotic Platform Project for ship hull inspection with UK partners Innvotek and Innovate UK.,"$330,560 from Canada's Ocean Supercluster (of $942,871 total project value)",,Canada's Ocean Supercluster
Deepwater Robotics,Canada (Ontario),Canada,Underwater/Ocean Exploration & Inspection,,"Building a fleet of long-range, low-cost AUVs designed to travel the ocean for months at a time completing survey missions globally.",2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Ocean Riot,Canada (Quebec),Canada,Underwater/Ocean Exploration & Inspection,,Turnkey automated solutions for seafloor resource and biomass assessments using marine robotics and AI.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
Devocean Inc.,Canada (Quebec),Canada,Underwater/Ocean Exploration & Inspection,,AI-driven solutions to optimize ocean data collection and analysis.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
qualiTEAS,Canada (Newfoundland & Labrador),Canada,Underwater/Ocean Exploration & Inspection,,AI-powered corrosion inspection and management for ocean industries.,2025 Ocean Challenge: Boost recipient,,Ocean Startup Project
